time,open,high,low,close,Volume,Volume MA
2009-10-05T00:00:00Z,0.000764,0.000764,0.000764,0.000764,0,0
2009-10-06T00:00:00Z,0.000885,0.000885,0.000885,0.000885,0,0
2009-10-07T00:00:00Z,0.00105,0.00105,0.00105,0.00105,0,0
2009-10-08T00:00:00Z,0.001084,0.001084,0.001084,0.001084,0,0
2009-10-09T00:00:00Z,0.0012,0.0012,0.0012,0.0012,0,0
2009-10-10T00:00:00Z,0.00112,0.00112,0.00112,0.00112,0,0
2009-10-11T00:00:00Z,0.001153,0.001153,0.001153,0.001153,0,0
2009-10-12T00:00:00Z,0.001102,0.001102,0.001102,0.001102,0,0
2009-10-13T00:00:00Z,0.001129,0.001129,0.001129,0.001129,0,0
2009-10-14T00:00:00Z,0.001136,0.001136,0.001136,0.001136,0,0
2009-10-15T00:00:00Z,0.00117,0.00117,0.00117,0.00117,0,0
2009-10-16T00:00:00Z,0.001245,0.001245,0.001245,0.001245,0,0
2009-10-17T00:00:00Z,0.001241,0.001241,0.001241,0.001241,0,0
2009-10-18T00:00:00Z,0.001225,0.001225,0.001225,0.001225,0,0
2009-10-19T00:00:00Z,0.001248,0.001248,0.001248,0.001248,0,0
2009-10-20T00:00:00Z,0.001233,0.001233,0.001233,0.001233,0,0
2009-10-21T00:00:00Z,0.001211,0.001211,0.001211,0.001211,0,0
2009-10-22T00:00:00Z,0.00122,0.00122,0.00122,0.00122,0,0
2009-10-23T00:00:00Z,0.001257,0.001257,0.001257,0.001257,0,0
2009-10-24T00:00:00Z,0.001273,0.001273,0.001273,0.001273,0,0
2009-10-25T00:00:00Z,0.001288,0.001288,0.001288,0.001288,0,0
2009-10-26T00:00:00Z,0.001266,0.001266,0.001266,0.001266,0,0
2009-10-27T00:00:00Z,0.001263,0.001263,0.001263,0.001263,0,0
2009-10-28T00:00:00Z,0.001285,0.001285,0.001285,0.001285,0,0
2009-10-29T00:00:00Z,0.001266,0.001266,0.001266,0.001266,0,0
2009-10-30T00:00:00Z,0.001256,0.001256,0.001256,0.001256,0,0
2009-10-31T00:00:00Z,0.001247,0.001247,0.001247,0.001247,0,0
2009-11-01T00:00:00Z,0.001219,0.001219,0.001219,0.001219,0,0
2009-11-02T00:00:00Z,0.001256,0.001256,0.001256,0.001256,0,0
2009-11-03T00:00:00Z,0.001273,0.001273,0.001273,0.001273,0,0
2009-11-04T00:00:00Z,0.001306,0.001306,0.001306,0.001306,0,0
2009-11-05T00:00:00Z,0.001306,0.001306,0.001306,0.001306,0,0
2009-11-06T00:00:00Z,0.001286,0.001286,0.001286,0.001286,0,0
2009-11-07T00:00:00Z,0.00128,0.00128,0.00128,0.00128,0,0
2009-11-08T00:00:00Z,0.00126,0.00126,0.00126,0.00126,0,0
2009-11-09T00:00:00Z,0.00126,0.00126,0.00126,0.00126,0,0
2009-11-10T00:00:00Z,0.001236,0.001236,0.001236,0.001236,0,0
2009-11-11T00:00:00Z,0.001299,0.001299,0.001299,0.001299,0,0
2009-11-12T00:00:00Z,0.001341,0.001341,0.001341,0.001341,0,0
2009-11-13T00:00:00Z,0.001355,0.001355,0.001355,0.001355,0,0
2009-11-14T00:00:00Z,0.001286,0.001286,0.001286,0.001286,0,0
2009-11-15T00:00:00Z,0.001236,0.001236,0.001236,0.001236,0,0
2009-11-16T00:00:00Z,0.001189,0.001189,0.001189,0.001189,0,0
2009-11-17T00:00:00Z,0.001178,0.001178,0.001178,0.001178,0,0
2009-11-18T00:00:00Z,0.001106,0.001106,0.001106,0.001106,0,0
2009-11-19T00:00:00Z,0.001073,0.001073,0.001073,0.001073,0,0
